Q410772,CHEMBL114062
Q410824,CHEMBL201960
Q410884,CHEMBL48449
Q410922,CHEMBL177756
Q411073,CHEMBL284391
Q411078,CHEMBL406291
Q411119,CHEMBL14449
Q411159,CHEMBL902
Q411235,CHEMBL1201867
Q411251,CHEMBL110094
Q411325,CHEMBL24
Q411362,CHEMBL816
Q411417,CHEMBL1727
Q411457,CHEMBL621
Q411552,CHEMBL491571
Q411646,CHEMBL1517
Q411697,CHEMBL45029
Q411730,CHEMBL226651
Q411768,CHEMBL124440
Q411799,CHEMBL1514
Q411899,CHEMBL163701
Q412024,CHEMBL373204
Q412133,CHEMBL778
Q412158,CHEMBL253363
Q412164,CHEMBL70418
Q412174,CHEMBL1059
Q412189,CHEMBL807
Q412197,CHEMBL481
Q412236,CHEMBL638
Q412241,CHEMBL261663
Q412245,CHEMBL156378
Q412260,CHEMBL498878
Q412304,CHEMBL68253
Q412393,CHEMBL1451116
Q412486,CHEMBL1467
Q412589,CHEMBL459397
Q412609,CHEMBL605653
Q412616,CHEMBL1201585
Q412685,CHEMBL1201506
Q412694,CHEMBL501134
Q412765,CHEMBL1201586
Q412827,CHEMBL484853
Q412895,CHEMBL123292
Q413079,CHEMBL444147
Q413364,CHEMBL331627
Q413421,CHEMBL162150
Q413486,CHEMBL657
Q413504,CHEMBL1238
Q413515,CHEMBL15888
Q413728,CHEMBL466
Q413791,CHEMBL486760
Q413822,CHEMBL242948
Q413877,CHEMBL984
Q413886,CHEMBL464135
Q413894,CHEMBL353972
Q413961,CHEMBL1200391
Q414042,CHEMBL280487
Q414057,CHEMBL481044
Q414116,CHEMBL145
Q414157,CHEMBL304383
Q414203,CHEMBL1644699
Q414207,CHEMBL1213528
Q414275,CHEMBL782
Q414421,CHEMBL457583
Q414553,CHEMBL234926
Q414626,CHEMBL112302
Q414754,CHEMBL346919
Q414788,CHEMBL447
Q414915,CHEMBL463210
Q414945,CHEMBL1089962
Q414986,CHEMBL1405
Q415049,CHEMBL1200925
Q415090,CHEMBL46917
Q415167,CHEMBL8867
Q415183,CHEMBL1086446
Q415190,CHEMBL306226
Q415203,CHEMBL1241
Q415335,CHEMBL448301
Q415353,CHEMBL2070241
Q415411,CHEMBL1201570
Q415446,CHEMBL193446
Q415550,CHEMBL434
Q415723,CHEMBL279564
Q415739,CHEMBL1435
Q415750,CHEMBL44857
Q415801,CHEMBL1201826
Q415843,CHEMBL443
Q415909,CHEMBL1201252
Q416025,CHEMBL606
Q416132,CHEMBL632
Q416196,CHEMBL51628
Q416206,CHEMBL55
Q416232,CHEMBL1201772
Q416260,CHEMBL169
Q416331,CHEMBL628
Q416375,CHEMBL376280
Q416431,CHEMBL1201294
Q416487,CHEMBL780
Q416494,CHEMBL1201608
Q416516,CHEMBL1201685
Q416562,CHEMBL370753
Q416740,CHEMBL1257
Q416745,CHEMBL1309552
Q416791,CHEMBL101740
Q416852,CHEMBL196228
Q416956,CHEMBL263116
Q416958,CHEMBL508676
Q416978,CHEMBL128
Q417204,CHEMBL1764
Q417222,CHEMBL650
Q417296,CHEMBL1164729
Q417328,CHEMBL16435
Q417414,CHEMBL57286
Q417426,CHEMBL346231
Q417435,CHEMBL91732
Q417630,CHEMBL36994
Q417775,CHEMBL1201827
Q417813,CHEMBL762
Q417831,CHEMBL1461
Q417862,CHEMBL188921
Q417891,CHEMBL194400
Q417934,CHEMBL16236
Q417948,CHEMBL456066
Q418145,CHEMBL1626
Q418163,CHEMBL116813
Q418183,CHEMBL228511
Q418192,CHEMBL1023
Q773449,CHEMBL1624
Q779427,CHEMBL269755
Q780181,CHEMBL337702
Q781329,CHEMBL673
Q784717,CHEMBL813
Q947249,CHEMBL8224
Q949232,CHEMBL14126
Q953294,CHEMBL608410
Q975059,CHEMBL260538
Q981152,CHEMBL77562
Q1109018,CHEMBL1685
Q1147519,CHEMBL103371714
Q1149099,CHEMBL19
Q1452256,CHEMBL267044
Q1463401,CHEMBL459016
Q3407657,CHEMBL340765
Q3411917,CHEMBL372764
Q3429576,CHEMBL1185241
Q3429675,CHEMBL395990
Q4303469,CHEMBL1330
Q4392804,CHEMBL388559
Q5001301,CHEMBL159467
Q5002498,CHEMBL128000
Q5002528,CHEMBL451168
Q5010980,CHEMBL29811
Q5011453,CHEMBL287735
Q5013569,CHEMBL80913
Q5019575,CHEMBL1201447
Q5024643,CHEMBL384277
Q6120311,CHEMBL422629
Q6120732,CHEMBL117614
Q6122828,CHEMBL401501
Q2546,CHEMBL1644030
Q3515,CHEMBL1219
Q170617,CHEMBL266481
Q174723,CHEMBL485
Q174786,CHEMBL73234
Q174937,CHEMBL161598
Q179271,CHEMBL1159662
Q180341,CHEMBL42336
Q180912,CHEMBL45
Q181559,CHEMBL15768
Q181619,CHEMBL930
Q372725,CHEMBL1378
Q374826,CHEMBL1734
Q375140,CHEMBL444965
Q375837,CHEMBL288114
Q684379,CHEMBL1021
Q685310,CHEMBL166183
Q715104,CHEMBL39736
Q733186,CHEMBL1017
Q737743,CHEMBL1754
Q742266,CHEMBL1201347
Q772735,CHEMBL1561
Q808845,CHEMBL201
Q822884,CHEMBL1201780
Q1017842,CHEMBL469253
Q1175385,CHEMBL861
Q1182795,CHEMBL264089
Q1185089,CHEMBL33986
Q1193173,CHEMBL47483
Q1321320,CHEMBL1220
Q1530958,CHEMBL1200
Q1689157,CHEMBL30400
Q2149707,CHEMBL47050
Q2159860,CHEMBL417675
Q2737856,CHEMBL65433
Q2739877,CHEMBL484430
Q2739953,CHEMBL395653
Q2742455,CHEMBL374699
Q2746448,CHEMBL25948
Q2786508,CHEMBL181124
Q2813802,CHEMBL117135
Q2815988,CHEMBL243816
Q2816007,CHEMBL238132
Q2816679,CHEMBL164236
Q2817108,CHEMBL440283
Q2817908,CHEMBL138649
Q2823224,CHEMBL607712
Q2823230,CHEMBL164813
Q2823277,CHEMBL93204
Q2823280,CHEMBL319144
Q2823283,CHEMBL180570
Q3607822,CHEMBL1201197
Q3608257,CHEMBL177837
Q3609417,CHEMBL519504
Q3609421,CHEMBL1201571
Q3617574,CHEMBL712
Q3633651,CHEMBL521589
Q3637399,CHEMBL64195
Q3637540,CHEMBL176
Q4048659,CHEMBL73188
Q4063441,CHEMBL428690
Q4332778,CHEMBL1500276
Q4338679,CHEMBL52229
Q4348178,CHEMBL289277
Q4363210,CHEMBL1200722
Q4921678,CHEMBL62193
Q4959983,CHEMBL206031
Q4960506,CHEMBL1165792
Q5023018,CHEMBL200899
Q5036216,CHEMBL435128
Q5047478,CHEMBL1256767
Q5050928,CHEMBL1076705
Q5243688,CHEMBL267473
Q5251502,CHEMBL550348
Q5370305,CHEMBL594
Q5373671,CHEMBL173809
Q5376588,CHEMBL254193
Q5382412,CHEMBL272195
Q5383943,CHEMBL1224875
Q5435087,CHEMBL107367
Q5443509,CHEMBL50472
Q5443558,CHEMBL239800
Q5514387,CHEMBL15928
Q5514863,CHEMBL225411
Q5516429,CHEMBL1200593
Q5522008,CHEMBL254051
Q5613599,CHEMBL862
Q5866560,CHEMBL1472
Q6989992,CHEMBL582857
Q6995920,CHEMBL180022
Q6997373,CHEMBL1201668
Q7186528,CHEMBL510508
Q7197338,CHEMBL303933
Q7197361,CHEMBL465843
Q7199690,CHEMBL167731
Q7278112,CHEMBL80436
Q7301989,CHEMBL370100
Q43656,CHEMBL112570
Q44944,CHEMBL76370
Q45143,CHEMBL185198
Q46298,CHEMBL67166
Q47118,CHEMBL25363
Q47192,CHEMBL169176
Q49546,CHEMBL14253
Q50980,CHEMBL1424
Q60168,CHEMBL459324
Q61388,CHEMBL243596
Q61416,CHEMBL1161865
Q62947,CHEMBL13280
Q68414,CHEMBL289753
Q68566,CHEMBL60889
Q69488,CHEMBL43048
Q71969,CHEMBL1201270
Q76933,CHEMBL14085
Q80250,CHEMBL1796999
Q211433,CHEMBL15980
Q211737,CHEMBL233406
Q211891,CHEMBL1161681
Q212093,CHEMBL96783
Q218507,CHEMBL924
Q219626,CHEMBL211456
Q219957,CHEMBL750
Q221174,CHEMBL220492
Q221520,CHEMBL585
Q161285,CHEMBL325493
Q161471,CHEMBL452370
Q161514,CHEMBL379652
Q161563,CHEMBL458616
Q161632,CHEMBL706
Q161655,CHEMBL57394
Q161656,CHEMBL383808
Q161660,CHEMBL428495
Q161683,CHEMBL24022
Q161686,CHEMBL444525
Q162541,CHEMBL313136
Q164785,CHEMBL27246
Q165930,CHEMBL11608
Q166825,CHEMBL997
Q168790,CHEMBL19980
Q169313,CHEMBL219568
Q169326,CHEMBL454173
Q170304,CHEMBL59
Q183554,CHEMBL1757
Q184782,CHEMBL1187
Q186257,CHEMBL22097
Q186969,CHEMBL521
Q187487,CHEMBL329673
Q188261,CHEMBL302239
Q189522,CHEMBL170
Q190016,CHEMBL526514
Q190875,CHEMBL389621
Q191381,CHEMBL310671
Q191521,CHEMBL1737
Q192717,CHEMBL1201194
Q193140,CHEMBL26687
Q193213,CHEMBL14227
Q193521,CHEMBL1201136
Q193572,CHEMBL424
Q267669,CHEMBL1201248
Q267813,CHEMBL55814
Q271980,CHEMBL418971
Q273169,CHEMBL294199
Q290001,CHEMBL427216
Q290992,CHEMBL1096339
Q291271,CHEMBL463
Q292393,CHEMBL8211
Q297592,CHEMBL320358
Q338965,CHEMBL119405
Q342108,CHEMBL507036
Q342713,CHEMBL39677
Q342790,CHEMBL721
Q347337,CHEMBL102265
Q347392,CHEMBL417799
Q348922,CHEMBL820
Q351461,CHEMBL1614830
Q407125,CHEMBL1200706
Q407189,CHEMBL1161634
Q407217,CHEMBL12420
Q407329,CHEMBL165
Q407548,CHEMBL1200718
Q407560,CHEMBL458402
Q407654,CHEMBL185537
Q407733,CHEMBL276924
Q407927,CHEMBL504
Q407972,CHEMBL71
Q407988,CHEMBL452
Q408032,CHEMBL858
Q408050,CHEMBL119178
Q408099,CHEMBL607400
Q408370,CHEMBL35505
Q408384,CHEMBL14474
Q408446,CHEMBL431928
Q408529,CHEMBL177
Q408641,CHEMBL444814
Q408646,CHEMBL849
Q408663,CHEMBL109962
Q408794,CHEMBL790
Q408859,CHEMBL242341
Q408898,CHEMBL22830
Q408977,CHEMBL303560
Q409133,CHEMBL46058
Q409141,CHEMBL540990
Q409209,CHEMBL183491
Q409231,CHEMBL6
Q409262,CHEMBL575
Q409357,CHEMBL461164
Q409366,CHEMBL289191
Q409375,CHEMBL1162370
Q409587,CHEMBL142
Q409591,CHEMBL76101
Q409592,CHEMBL363207
Q409618,CHEMBL1229937
Q409641,CHEMBL359965
Q409697,CHEMBL1201515
Q409799,CHEMBL345248
Q409966,CHEMBL1289779
Q410011,CHEMBL46
Q410174,CHEMBL1200826
Q410228,CHEMBL15848
Q410305,CHEMBL1427
Q410374,CHEMBL19224
Q410468,CHEMBL1075733
Q410492,CHEMBL250270
Q410608,CHEMBL449
Q410677,CHEMBL519982
Q410683,CHEMBL1200455
Q410712,CHEMBL487805
Q410836,CHEMBL25719
Q410915,CHEMBL14092
Q410949,CHEMBL422704
Q410968,CHEMBL404811
Q411041,CHEMBL235363
Q411188,CHEMBL1112
Q411198,CHEMBL1201414
Q411377,CHEMBL126
Q411413,CHEMBL177880
Q411452,CHEMBL11873
Q411469,CHEMBL1453
Q411493,CHEMBL136685
Q411515,CHEMBL1186579
Q411532,CHEMBL109718
Q411648,CHEMBL269732
Q411707,CHEMBL354077
Q412194,CHEMBL49
Q412208,CHEMBL1237
Q412226,CHEMBL15245
Q412291,CHEMBL426559
Q412323,CHEMBL1201576
Q412327,CHEMBL255863
Q412479,CHEMBL704
Q412567,CHEMBL15819
Q412659,CHEMBL1663
Q412713,CHEMBL533841
Q412773,CHEMBL57376
Q412784,CHEMBL277294
Q412803,CHEMBL461
Q412845,CHEMBL13960
Q412907,CHEMBL513221
Q412986,CHEMBL275563
Q413008,CHEMBL107217
Q413105,CHEMBL245067
Q413178,CHEMBL41286
Q413184,CHEMBL1522
Q413299,CHEMBL1201583
Q413426,CHEMBL15605
Q413447,CHEMBL191625
Q413481,CHEMBL464812
Q413512,CHEMBL445332
Q413546,CHEMBL104
Q413578,CHEMBL719
Q413598,CHEMBL1194
Q413740,CHEMBL445751
Q413744,CHEMBL404108
Q413840,CHEMBL1324
Q414143,CHEMBL888
Q414189,CHEMBL14079
Q414357,CHEMBL560579
Q414395,CHEMBL1088937
Q414407,CHEMBL54440
Q414458,CHEMBL15871
Q414462,CHEMBL231779
Q414606,CHEMBL185885
Q414738,CHEMBL116455
Q414783,CHEMBL406270
Q414846,CHEMBL583
Q414904,CHEMBL1639
Q414996,CHEMBL225111
Q415062,CHEMBL108778
Q415113,CHEMBL1697696
